c,location,Standardized_Location1,Type_Location1,Link_Location_1_Adamlink,Link_Location_1_Wikidata,Standardized_Location2,Type_Location2,Link_Location_2_Adamlink,Link_Location_2_Wikidata,religion,Location1_Religion1,Location1_Religion2,Location2_Religion1,Location2_Religion2,Remark
334524,https://data.goldenagents.org/thesaurus/KarthuizerKerkhof,Karthuizer Kerkhof,http://www.wikidata.org/entity/Q39614,,http://www.wikidata.org/entity/Q112796043,,,,,,,,,,
283074,https://data.goldenagents.org/thesaurus/StAnthonisKerkhof,St. Anthonis Kerkhof,http://www.wikidata.org/entity/Q39614,,http://www.wikidata.org/entity/Q112811561,,,,,,,,,,
270947,https://data.goldenagents.org/thesaurus/HeiligewegsEnLeidscheKerkhof,Heiligewegs- en Leidsche Kerkhof,http://www.wikidata.org/entity/Q39614,,http://www.wikidata.org/entity/Q112811681,,,,,,,,,,
221091,https://data.goldenagents.org/thesaurus/NieuweKerk,Nieuwe Kerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/nieuwe-kerk/1222,,,,,,https://data.goldenagents.org/thesaurus/Hervormd,https://www.wikidata.org/entity/Q515880,https://www.wikidata.org/entity/Q1841,,,
196652,https://data.goldenagents.org/thesaurus/LutherseKerk,,,,,,,,,https://data.goldenagents.org/thesaurus/EvangelischLuthers,https://www.wikidata.org/entity/Q75809,,,,Kerk zou nog aan Adamlink kunnen worden toegevoegd
144905,https://data.goldenagents.org/thesaurus/OudeKerk,Oude Kerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/oude-kerk/331,,,,,,https://data.goldenagents.org/thesaurus/Hervormd,https://www.wikidata.org/entity/Q515880,https://www.wikidata.org/entity/Q1841,,,
117600,https://data.goldenagents.org/thesaurus/Westerkerk,Westerkerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/westerkerk/173,,,,,,https://data.goldenagents.org/thesaurus/Hervormd,https://www.wikidata.org/entity/Q515880,,,,
99372,https://data.goldenagents.org/thesaurus/Noorderkerk,Noorderkerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/noorderkerk/167,,,,,,https://data.goldenagents.org/thesaurus/Hervormd,https://www.wikidata.org/entity/Q515880,,,,
90918,https://data.goldenagents.org/thesaurus/NieuweKerkEnEngelseKerk,Nieuwe Kerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/nieuwe-kerk/1222,,Begijnhofkerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/engelse-kerk/178,,,https://www.wikidata.org/entity/Q515880,https://www.wikidata.org/entity/Q1841,https://www.wikidata.org/entity/Q178169,,
88901,https://data.goldenagents.org/thesaurus/WesterKerkhof,Westerkerkhof,http://www.wikidata.org/entity/Q2749813,,http://www.wikidata.org/entity/Q112811750,,,,,,https://www.wikidata.org/entity/Q515880,,,,
75826,https://data.goldenagents.org/thesaurus/Zuiderkerk,Zuiderkerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/zuiderkerk/397,,,,,,https://data.goldenagents.org/thesaurus/Hervormd,https://www.wikidata.org/entity/Q515880,,,,
