c,location,religion
334524,https://data.goldenagents.org/thesaurus/KarthuizerKerkhof,
283074,https://data.goldenagents.org/thesaurus/StAnthonisKerkhof,
270947,https://data.goldenagents.org/thesaurus/HeiligewegsEnLeidscheKerkhof,
221091,https://data.goldenagents.org/thesaurus/NieuweKerk,https://data.goldenagents.org/thesaurus/Hervormd
196652,https://data.goldenagents.org/thesaurus/LutherseKerk,https://data.goldenagents.org/thesaurus/EvangelischLuthers
144905,https://data.goldenagents.org/thesaurus/OudeKerk,https://data.goldenagents.org/thesaurus/Hervormd
117600,https://data.goldenagents.org/thesaurus/Westerkerk,https://data.goldenagents.org/thesaurus/Hervormd
99372,https://data.goldenagents.org/thesaurus/Noorderkerk,https://data.goldenagents.org/thesaurus/Hervormd
90918,https://data.goldenagents.org/thesaurus/NieuweKerkEnEngelseKerk,
88901,https://data.goldenagents.org/thesaurus/WesterKerkhof,
75826,https://data.goldenagents.org/thesaurus/Zuiderkerk,https://data.goldenagents.org/thesaurus/Hervormd
74709,https://data.goldenagents.org/thesaurus/OudeKerk,
71937,https://data.goldenagents.org/thesaurus/NoorderKerkEnKerkhof,
38537,https://data.goldenagents.org/thesaurus/KerkTBoompje,https://data.goldenagents.org/thesaurus/RoomsKatholiek
38314,https://data.goldenagents.org/thesaurus/WesterKerkEnKerkhof,
35007,https://data.goldenagents.org/thesaurus/MozesEnAaronkerk,https://data.goldenagents.org/thesaurus/RoomsKatholiek
32510,https://data.goldenagents.org/thesaurus/WesterKerk,
32240,https://data.goldenagents.org/thesaurus/Amstelkerk,https://data.goldenagents.org/thesaurus/Hervormd
31217,https://data.goldenagents.org/thesaurus/KerkAanHuis,https://data.goldenagents.org/thesaurus/EvangelischLuthers
30991,https://data.goldenagents.org/thesaurus/ZuiderKerk,
27474,https://data.goldenagents.org/thesaurus/NieuweZijdsKapel,
27211,https://data.goldenagents.org/thesaurus/NieuwezijdsKapel,https://data.goldenagents.org/thesaurus/Hervormd
25427,https://data.goldenagents.org/thesaurus/OudeWaalseKerk,https://data.goldenagents.org/thesaurus/WaalsHervormd
18808,https://data.goldenagents.org/thesaurus/KerkDePosthoorn,https://data.goldenagents.org/thesaurus/RoomsKatholiek
15098,https://data.goldenagents.org/thesaurus/FranschOfWaalschGereformeerdeKerk,
14573,https://data.goldenagents.org/thesaurus/OudeLutherscheKerk,
13493,https://data.goldenagents.org/thesaurus/Oosterkerk,https://data.goldenagents.org/thesaurus/Hervormd
13261,https://data.goldenagents.org/thesaurus/OudeZijdsKapel,
12178,https://data.goldenagents.org/thesaurus/KerkDeStar,https://data.goldenagents.org/thesaurus/RoomsKatholiek
10834,https://data.goldenagents.org/thesaurus/KerkDeLely,https://data.goldenagents.org/thesaurus/RoomsKatholiek
10456,https://data.goldenagents.org/thesaurus/NieuweLutherscheKerk,
9835,https://data.goldenagents.org/thesaurus/PortugeesIsraelitischeBegraafplaats,
9750,https://data.goldenagents.org/thesaurus/OosterKerk,
9206,https://data.goldenagents.org/thesaurus/KerkDeToren,https://data.goldenagents.org/thesaurus/RoomsKatholiek
8662,https://data.goldenagents.org/thesaurus/KerkStadhuisVanHoorn,https://data.goldenagents.org/thesaurus/RoomsKatholiek
7893,https://data.goldenagents.org/thesaurus/KerkDePool,https://data.goldenagents.org/thesaurus/RoomsKatholiek
7804,https://data.goldenagents.org/thesaurus/KerkDeDuif,https://data.goldenagents.org/thesaurus/RoomsKatholiek
7778,https://data.goldenagents.org/thesaurus/FranseKapel,https://data.goldenagents.org/thesaurus/RoomsKatholiek
7707,https://data.goldenagents.org/thesaurus/Eilandskerk,https://data.goldenagents.org/thesaurus/Hervormd
5860,https://data.goldenagents.org/thesaurus/KerkBrouwersgracht,https://data.goldenagents.org/thesaurus/OudKatholiek
5052,https://data.goldenagents.org/thesaurus/KerkOpHetKuiperspad,https://data.goldenagents.org/thesaurus/RoomsKatholiek
5019,https://data.goldenagents.org/thesaurus/KerkDeKrijtberg,https://data.goldenagents.org/thesaurus/RoomsKatholiek
4939,https://data.goldenagents.org/thesaurus/KerkLamEnToren,https://data.goldenagents.org/thesaurus/Doopsgezind
4592,https://data.goldenagents.org/thesaurus/KerkHetHaantje,https://data.goldenagents.org/thesaurus/RoomsKatholiek
4130,https://data.goldenagents.org/thesaurus/PortugeesIsraelitischeKerk,https://data.goldenagents.org/thesaurus/PortugeesIsraelitisch
3939,https://data.goldenagents.org/thesaurus/NieuweWaalseKerk,https://data.goldenagents.org/thesaurus/WaalsHervormd
3696,https://data.goldenagents.org/thesaurus/Begijnhofkerk,https://data.goldenagents.org/thesaurus/RoomsKatholiek
3654,https://data.goldenagents.org/thesaurus/OudezijdsKapel,https://data.goldenagents.org/thesaurus/Hervormd
3575,https://data.goldenagents.org/thesaurus/HersteldEvangelischLutherseKerk,https://data.goldenagents.org/thesaurus/HersteldEvangelischLuthers
3409,https://data.goldenagents.org/thesaurus/KerkAanHuis,https://data.goldenagents.org/thesaurus/HersteldEvangelischLuthers
3278,https://data.goldenagents.org/thesaurus/KerkDePapegaai,https://data.goldenagents.org/thesaurus/RoomsKatholiek
2975,https://data.goldenagents.org/thesaurus/KerkDeZaaijer,https://data.goldenagents.org/thesaurus/RoomsKatholiek
