CLUSTER_COUNT	STATUS	CLUSTER_SIZE	DATASET	RESOURCE_URI	CLUSTER_ID	ILN_GROUP

1	B	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24273101p1	PH19b7294f077ecf0	1
1	B	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24444353p1	PH19b7294f077ecf0	2
1	B	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24515677p1	PH19b7294f077ecf0	1
1	B	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24544852p1	PH19b7294f077ecf0	1
1	B	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24547914p1	PH19b7294f077ecf0	1
1	B	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24621793p1	PH19b7294f077ecf0	2
1	B	7	http://www.vondel.humanities.uva.nl/ecartico/persons/	23023	PH19b7294f077ecf0	1

2	G	4	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24509717p2	PH32817db85dd091e	1
2	G	4	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24524508p2	PH32817db85dd091e	1
2	G	4	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24583287p2	PH32817db85dd091e	1
2	G	4	http://www.vondel.humanities.uva.nl/ecartico/persons/	22569	PH32817db85dd091e	1

3	G	6	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24548746p2	PH2951197d5b19373	1
3	G	6	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24565578p2	PH2951197d5b19373	1
3	G	6	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24584356p2	PH2951197d5b19373	1
3	G	6	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24722679p2	PH2951197d5b19373	1
3	G	6	http://www.vondel.humanities.uva.nl/ecartico/persons/	6213	PH2951197d5b19373	1
3	G	6	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26386917p1	PH2951197d5b19373	1

4	G	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24331962p2	PH04a1c0123f05b6f	1
4	G	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24335997p2	PH04a1c0123f05b6f	1
4	G	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24454450p2	PH04a1c0123f05b6f	1
4	G	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24609060p2	PH04a1c0123f05b6f	1
4	G	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24711286p2	PH04a1c0123f05b6f	1
4	G	7	http://www.vondel.humanities.uva.nl/ecartico/persons/	7900	PH04a1c0123f05b6f	1
4	G	7	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26400712p1	PH04a1c0123f05b6f	1

5	G	9	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24329007p1	PH1da74b7ebadf77c	1
5	G	9	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24331962p1	PH1da74b7ebadf77c	1
5	G	9	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24335997p1	PH1da74b7ebadf77c	1
5	G	9	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24448108p1	PH1da74b7ebadf77c	1
5	G	9	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24454450p1	PH1da74b7ebadf77c	1
5	G	9	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24609060p1	PH1da74b7ebadf77c	1
5	G	9	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24711286p1	PH1da74b7ebadf77c	1
5	G	9	http://www.vondel.humanities.uva.nl/ecartico/persons/	11115	PH1da74b7ebadf77c	1
5	G	9	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26400712p2	PH1da74b7ebadf77c	1

6	B	14	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24514526p2	PH06a0b778d600ec7	1
6	B	14	http://www.vondel.humanities.uva.nl/ecartico/persons/	6012	PH06a0b778d600ec7	1
6	B	14	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26341675p3	PH06a0b778d600ec7	
6	B	14	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26353155p3	PH06a0b778d600ec7	 
6	B	14	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26373727p3	PH06a0b778d600ec7	
6	B	14	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26381734p1	PH06a0b778d600ec7	 
6	B	14	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26381742p1	PH06a0b778d600ec7	 
6	B	14	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26383276p1	PH06a0b778d600ec7	 
6	B	14	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26383282p1	PH06a0b778d600ec7	 
6	B	14	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26383292p1	PH06a0b778d600ec7	 
6	B	14	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26383301p1	PH06a0b778d600ec7	
6	B	14	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26383360p1	PH06a0b778d600ec7	 
6	B	14	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26383363p1	PH06a0b778d600ec7	
6	B	14	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26400634p3	PH06a0b778d600ec7	

7	B	18	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24524635p1	PH0fb9310876ebb33	 
7	B	18	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	saaId24565634p1	PH0fb9310876ebb33	
7	B	18	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId10813545p2	PH0fb9310876ebb33	1
7	B	18	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	saaId10813556p1	PH0fb9310876ebb33	1
7	B	18	http://www.vondel.humanities.uva.nl/ecartico/persons/	14038	PH0fb9310876ebb33	 
7	B	18	http://www.vondel.humanities.uva.nl/ecartico/persons/	9718	PH0fb9310876ebb33	 
7	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26337902p2	PH0fb9310876ebb33	 
7	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26338651p2	PH0fb9310876ebb33	 
7	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26342311p2	PH0fb9310876ebb33	2
7	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26358683p2	PH0fb9310876ebb33	 
7	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26359513p3	PH0fb9310876ebb33	
7	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26361488p2	PH0fb9310876ebb33	 
7	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26361713p2	PH0fb9310876ebb33	 
7	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26382140p2	PH0fb9310876ebb33	 
7	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26384307p2	PH0fb9310876ebb33	 
7	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26389555p2	PH0fb9310876ebb33	
7	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26398632p2	PH0fb9310876ebb33	 
7	B	18	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	saaId26540295p2	PH0fb9310876ebb33	2
